Antal;Periode
854;1 kvartal
670;1 kvartal
709;1 kvartal
723;1 kvartal
874;1 kvartal
863;1 kvartal
577;1 kvartal
1126;1 kvartal
1070;1 kvartal
675;1 kvartal
1130;1 kvartal
852;1 kvartal
1256;1 kvartal
996;2 kvartal
1124;2 kvartal
965;2 kvartal
960;2 kvartal
1640;2 kvartal
1480;2 kvartal
1075;2 kvartal
1352;2 kvartal
1162;2 kvartal
983;2 kvartal
1009;2 kvartal
1258;2 kvartal
1007;2 kvartal
1135;3 kvartal
647;3 kvartal
679;3 kvartal
900;3 kvartal
718;3 kvartal
1048;3 kvartal
510;3 kvartal
923;3 kvartal
903;3 kvartal
956;3 kvartal
1098;3 kvartal
1121;3 kvartal
962;3 kvartal
1960;4 kvartal
1436;4 kvartal
1410;4 kvartal
824;4 kvartal
1151;4 kvartal
1599;4 kvartal
1139;4 kvartal
1691;4 kvartal
1640;4 kvartal
2557;4 kvartal
2158;4 kvartal
1305;4 kvartal
944;4 kvartal
